Student_ID,University,Age,Gender,Stress_Level,Primary_Stress_Factor,Avg_Sleep_Hours,Seeks_Help
1,Kuwait University,27,Other,Low,Sleep Deprivation,5.0,Yes
2,Tokyo University,21,Other,Moderate,Assignments,6.5,Yes
3,Tokyo University,18,Other,High,Financial Stress,3.6,Yes
4,Tokyo University,26,Male,Low,Family Issues,6.6,Yes
5,University of Toronto,28,Female,Moderate,Financial Stress,8.9,No
6,Oxford,20,Female,Severe,Financial Stress,4.5,No
7,Oxford,21,Other,Low,Sleep Deprivation,4.9,No
8,Oxford,28,Other,Severe,Exams,4.9,Yes
9,Tokyo University,27,Male,High,Sleep Deprivation,6.2,Yes
10,University of Toronto,20,Other,Low,Sleep Deprivation,4.4,Yes
11,Stanford,29,Male,Moderate,Assignments,6.6,Yes
12,Kuwait University,19,Other,Severe,Assignments,7.3,Yes
13,Oxford,19,Other,Low,Sleep Deprivation,6.8,Yes
14,Kuwait University,19,Other,Low,Family Issues,3.3,Yes
15,Oxford,21,Female,Moderate,Assignments,7.5,Yes
16,Oxford,23,Female,Severe,Sleep Deprivation,7.4,No
17,Tokyo University,28,Male,Moderate,Assignments,7.2,No
18,Oxford,21,Other,Moderate,Family Issues,6.6,No
19,Oxford,24,Male,High,Exams,6.3,No
20,Tokyo University,20,Male,Low,Sleep Deprivation,7.5,No
21,University of Toronto,22,Male,Severe,Exams,8.9,No
22,Stanford,22,Female,Moderate,Family Issues,4.6,Yes
23,Tokyo University,30,Other,Low,Financial Stress,7.6,No
24,Oxford,22,Other,Moderate,Family Issues,5.9,Yes
25,Kuwait University,22,Female,Severe,Social Pressure,5.8,Yes
26,Tokyo University,21,Female,Moderate,Exams,3.7,Yes
27,Kuwait University,25,Female,Moderate,Financial Stress,5.6,Yes
28,Harvard,22,Other,High,Financial Stress,4.5,No
29,Kuwait University,19,Female,High,Sleep Deprivation,5.3,No
30,Harvard,19,Other,Low,Assignments,4.4,No
31,Oxford,30,Male,Moderate,Sleep Deprivation,5.3,No
32,University of Toronto,18,Male,Low,Social Pressure,5.4,No
33,University of Toronto,23,Male,Severe,Assignments,6.1,Yes
34,Harvard,29,Female,Severe,Social Pressure,3.6,No
35,University of Toronto,21,Other,Severe,Sleep Deprivation,3.8,No
36,Harvard,24,Female,Moderate,Assignments,6.5,No
37,Harvard,23,Female,Severe,Assignments,4.8,No
38,Tokyo University,21,Female,Low,Sleep Deprivation,7.6,Yes
39,Harvard,27,Male,Moderate,Family Issues,6.3,Yes
40,Stanford,25,Female,Low,Exams,6.9,No
41,Kuwait University,20,Male,Moderate,Assignments,8.1,No
42,Harvard,18,Female,Low,Financial Stress,5.5,No
43,Harvard,22,Other,Severe,Assignments,5.1,Yes
44,Oxford,21,Other,Low,Exams,7.3,No
45,University of Toronto,26,Other,Moderate,Exams,6.8,No
